,id_loc,Annee,suffrage,1_tour,2_tour
359,124,1965,Blancs et nuls,536,1317.0
360,1,1969,Inscrits,202239,202239.0
361,1,1969,Exprimés,146330,128937.0
362,1,1969,Blancs et nuls,1643,6246.0
363,1,1969,Votants,147973,135183.0
364,2,1969,Exprimés,236028,193278.0
365,2,1969,Inscrits,296738,296738.0
366,2,1969,Votants,239265,213081.0
367,2,1969,Blancs et nuls,3237,19803.0
368,3,1969,Inscrits,243779,243779.0
369,3,1969,Exprimés,186828,139603.0
370,3,1969,Blancs et nuls,2604,16880.0
371,3,1969,Votants,189432,156483.0
372,4,1969,Exprimés,49192,43302.0
373,4,1969,Blancs et nuls,914,3709.0
374,4,1969,Votants,50106,47011.0
375,4,1969,Inscrits,65485,65485.0
376,58,1969,Inscrits,58734,58734.0
377,58,1969,Blancs et nuls,686,3022.0
378,58,1969,Votants,43661,41329.0
379,58,1969,Exprimés,42975,38307.0
380,5,1969,Blancs et nuls,4664,23168.0
381,5,1969,Votants,325408,291393.0
382,5,1969,Inscrits,426582,426582.0
383,5,1969,Exprimés,320744,268225.0
384,6,1969,Votants,129890,119031.0
385,6,1969,Inscrits,167157,167157.0
386,6,1969,Blancs et nuls,1472,7224.0
387,6,1969,Exprimés,128418,111807.0
388,7,1969,Votants,130037,114180.0
389,7,1969,Exprimés,128182,106060.0
390,7,1969,Blancs et nuls,1855,8120.0
391,7,1969,Inscrits,166706,166706.0
392,9,1969,Votants,72133,68718.0
393,9,1969,Blancs et nuls,969,5505.0
394,9,1969,Inscrits,94833,94833.0
395,9,1969,Exprimés,71164,63213.0
396,11,1969,Blancs et nuls,1648,6139.0
397,11,1969,Votants,122764,111840.0
398,11,1969,Inscrits,155992,155992.0
399,11,1969,Exprimés,121116,105701.0
400,12,1969,Votants,141793,131382.0
401,12,1969,Exprimés,139541,121028.0
402,12,1969,Blancs et nuls,2252,10354.0
403,12,1969,Inscrits,176905,176905.0
404,13,1969,Exprimés,149015,140486.0
405,13,1969,Blancs et nuls,2515,7562.0
406,13,1969,Inscrits,188614,188614.0
407,13,1969,Votants,151530,148048.0
408,15,1969,Inscrits,767852,767855.0
409,15,1969,Exprimés,560694,422748.0
410,15,1969,Blancs et nuls,6868,34568.0
411,15,1969,Votants,567562,457316.0
412,17,1969,Blancs et nuls,2319,9144.0
413,17,1969,Votants,231831,211536.0
414,17,1969,Inscrits,293125,293125.0
415,17,1969,Exprimés,229512,202392.0
416,18,1969,Exprimés,84034,77794.0
417,18,1969,Inscrits,110360,110360.0
418,18,1969,Blancs et nuls,628,4846.0
419,18,1969,Votants,84662,82640.0
420,19,1969,Exprimés,157269,136942.0
421,19,1969,Votants,159578,149948.0
422,19,1969,Inscrits,207021,207021.0
423,19,1969,Blancs et nuls,2309,13006.0
424,20,1969,Exprimés,218827,195297.0
425,20,1969,Inscrits,297115,297115.0
426,20,1969,Votants,221539,206511.0
427,20,1969,Blancs et nuls,2712,11214.0
428,21,1969,Blancs et nuls,1751,10836.0
429,21,1969,Inscrits,187582,187582.0
430,21,1969,Exprimés,144507,113032.0
431,21,1969,Votants,146258,123868.0
432,22,1969,Exprimés,129197,100766.0
433,22,1969,Votants,130630,116020.0
434,22,1969,Blancs et nuls,1433,15254.0
435,22,1969,Inscrits,161858,161858.0
436,24,1969,Inscrits,181364,181364.0
437,24,1969,Exprimés,110516,107310.0
438,24,1969,Blancs et nuls,431,1600.0
439,24,1969,Votants,110947,108910.0
440,26,1969,Exprimés,179387,161600.0
441,26,1969,Blancs et nuls,1945,6825.0
442,26,1969,Inscrits,239094,239094.0
443,26,1969,Votants,181332,168425.0
444,27,1969,Blancs et nuls,2656,17278.0
445,27,1969,Inscrits,331467,331467.0
446,27,1969,Exprimés,263750,221402.0
447,27,1969,Votants,266406,238680.0
448,28,1969,Blancs et nuls,837,7118.0
449,28,1969,Inscrits,110772,110772.0
450,28,1969,Exprimés,77325,62778.0
451,28,1969,Votants,78162,69896.0
452,33,1969,Blancs et nuls,3130,18273.0
453,33,1969,Votants,205106,193044.0
454,33,1969,Exprimés,201976,174771.0
455,33,1969,Inscrits,253591,253591.0
456,34,1969,Votants,178353,164649.0
457,34,1969,Exprimés,176314,155422.0
458,34,1969,Inscrits,229086,229086.0
459,34,1969,Blancs et nuls,2039,9227.0
460,35,1969,Blancs et nuls,1777,8857.0
461,35,1969,Inscrits,203138,203138.0
462,35,1969,Exprimés,152013,134510.0
463,35,1969,Votants,153790,143367.0
464,38,1969,Votants,178856,162843.0
465,38,1969,Inscrits,221839,221839.0
466,38,1969,Blancs et nuls,2142,9210.0
467,38,1969,Exprimés,176714,153633.0
468,39,1969,Votants,144435,132366.0
469,39,1969,Exprimés,142498,124371.0
470,39,1969,Inscrits,179777,179777.0
471,39,1969,Blancs et nuls,1937,7995.0
472,40,1969,Exprimés,393672,343584.0
473,40,1969,Inscrits,500540,500540.0
474,40,1969,Votants,396073,362056.0
475,40,1969,Blancs et nuls,2401,18472.0
476,44,1969,Exprimés,216164,165059.0
477,44,1969,Inscrits,287719,287719.0
478,44,1969,Votants,219251,180745.0
479,44,1969,Blancs et nuls,3087,15686.0
480,51,1969,Exprimés,304835,274435.0
481,51,1969,Inscrits,398749,398749.0
482,51,1969,Votants,308847,293976.0
483,51,1969,Blancs et nuls,4012,19541.0
484,45,1969,Blancs et nuls,1228,4764.0
485,45,1969,Exprimés,85601,81216.0
486,45,1969,Votants,86829,85980.0
487,45,1969,Inscrits,115119,115119.0
488,46,1969,Exprimés,450149,402365.0
489,46,1969,Blancs et nuls,5011,22267.0
490,46,1969,Inscrits,597506,597506.0
491,46,1969,Votants,455160,424632.0
492,62,1969,Inscrits,339415,339415.0
493,62,1969,Votants,257773,227654.0
494,62,1969,Blancs et nuls,2893,15328.0
495,62,1969,Exprimés,254880,212326.0
496,64,1969,Blancs et nuls,3834,10781.0
497,64,1969,Exprimés,309378,281096.0
498,64,1969,Votants,313212,291877.0
499,64,1969,Inscrits,392368,392368.0
500,65,1969,Exprimés,121929,103117.0
501,65,1969,Inscrits,161332,161332.0
502,65,1969,Blancs et nuls,2092,10607.0
503,65,1969,Votants,124021,113724.0
504,66,1969,Exprimés,193104,170905.0
505,66,1969,Votants,196079,179739.0
506,66,1969,Blancs et nuls,2975,8834.0
507,66,1969,Inscrits,253517,253517.0
508,67,1969,Exprimés,340098,283125.0
509,67,1969,Inscrits,457712,457712.0
510,67,1969,Votants,343633,300273.0
511,67,1969,Blancs et nuls,3535,17148.0
512,69,1969,Exprimés,107659,99821.0
513,69,1969,Blancs et nuls,1516,5718.0
514,69,1969,Votants,109175,105539.0
515,69,1969,Inscrits,144478,144478.0
516,72,1969,Inscrits,180699,180699.0
517,72,1969,Votants,146792,140095.0
518,72,1969,Blancs et nuls,2050,10484.0
519,72,1969,Exprimés,144742,129611.0
520,73,1969,Blancs et nuls,1882,7652.0
521,73,1969,Exprimés,128315,113648.0
522,73,1969,Inscrits,165374,165374.0
523,73,1969,Votants,130197,121300.0
524,74,1969,Votants,311184,271695.0
525,74,1969,Inscrits,417404,417404.0
526,74,1969,Exprimés,307541,256148.0
527,74,1969,Blancs et nuls,3643,15547.0
528,52,1969,Votants,103679,103565.0
529,52,1969,Exprimés,102315,98321.0
530,52,1969,Inscrits,137977,137977.0
531,52,1969,Blancs et nuls,1364,5244.0
532,75,1969,Exprimés,402518,353844.0
533,75,1969,Votants,406605,368061.0
534,75,1969,Blancs et nuls,4087,14217.0
535,75,1969,Inscrits,507597,507597.0
536,76,1969,Blancs et nuls,2921,11278.0
537,76,1969,Votants,201196,182623.0
538,76,1969,Inscrits,252010,252010.0
539,76,1969,Exprimés,198275,171345.0
540,77,1969,Inscrits,101415,101415.0
541,77,1969,Exprimés,82263,76392.0
542,77,1969,Votants,83072,81678.0
543,77,1969,Blancs et nuls,809,5286.0
544,78,1969,Inscrits,178358,178358.0
545,78,1969,Exprimés,140680,124012.0
546,78,1969,Votants,142684,135937.0
547,78,1969,Blancs et nuls,2004,11925.0
548,79,1969,Inscrits,53265,53265.0
549,79,1969,Votants,40857,39967.0
550,79,1969,Blancs et nuls,459,1669.0
551,79,1969,Exprimés,40398,38298.0
552,81,1969,Inscrits,340093,340093.0
553,81,1969,Exprimés,265827,238528.0
554,81,1969,Votants,269580,247685.0
555,81,1969,Blancs et nuls,3753,9157.0
556,82,1969,Votants,209552,202758.0
557,82,1969,Inscrits,270424,270424.0
558,82,1969,Exprimés,207287,196756.0
559,82,1969,Blancs et nuls,2265,6002.0
560,83,1969,Inscrits,267759,267759.0
561,83,1969,Blancs et nuls,2568,11723.0
