id_loc,Annee,id_cndt,1_tour,2_tour
2,1969,37,2788,
2,1969,56,50575,86864.0
3,1969,60,5718,
3,1969,21,9446,
3,1969,57,72003,80773.0
3,1969,23,59572,
3,1969,37,1646,
3,1969,56,36195,58830.0
3,1969,22,2248,
4,1969,56,10841,20937.0
4,1969,21,3886,
4,1969,37,626,
4,1969,60,1886,
4,1969,57,19002,22365.0
4,1969,22,800,
4,1969,23,12151,
5,1969,56,94352,129702.0
5,1969,23,74424,
5,1969,22,4595,
5,1969,21,10610,
5,1969,37,3656,
5,1969,60,7837,
5,1969,57,125270,138523.0
6,1969,56,30170,46604.0
6,1969,37,1170,
6,1969,57,58441,65203.0
6,1969,60,4004,
6,1969,22,1506,
6,1969,23,27386,
6,1969,21,5741,
7,1969,57,54514,60933.0
7,1969,22,2040,
7,1969,60,4721,
7,1969,56,27150,45127.0
7,1969,37,1725,
7,1969,21,6453,
7,1969,23,31579,
9,1969,37,970,
9,1969,56,17344,31456.0
9,1969,57,26732,31757.0
9,1969,23,18086,
9,1969,21,5079,
9,1969,60,2278,
9,1969,22,675,
11,1969,60,3171,
11,1969,57,53184,58467.0
11,1969,56,29237,47234.0
11,1969,37,1232,
11,1969,21,6527,
11,1969,23,26066,
11,1969,22,1699,
12,1969,23,34988,
12,1969,60,4670,
12,1969,56,33587,61964.0
12,1969,22,1396,
12,1969,21,11948,
12,1969,37,1414,
12,1969,57,51538,59064.0
13,1969,57,82735,91377.0
13,1969,22,1662,
13,1969,21,5878,
13,1969,37,1345,
13,1969,23,18617,
13,1969,60,4308,
13,1969,56,34470,49109.0
14,1969,56,93997,111423.0
14,1969,23,20659,
14,1969,57,203416,215581.0
14,1969,60,6303,
14,1969,37,3406,
14,1969,22,2555,
14,1969,21,10039,
15,1969,21,61156,
15,1969,57,194989,223654.0
15,1969,60,16466,
15,1969,23,172595,
15,1969,37,5130,
15,1969,22,6266,
15,1969,56,104092,199094.0
17,1969,22,3401,
17,1969,60,8748,
17,1969,21,8020,
17,1969,56,60677,83086.0
17,1969,23,35566,
17,1969,37,2457,
17,1969,57,110643,119306.0
18,1969,37,597,
18,1969,22,541,
18,1969,21,3053,
18,1969,23,11777,
18,1969,60,1944,
18,1969,57,58645,64511.0
18,1969,56,7477,13283.0
19,1969,60,4920,
19,1969,23,37095,
19,1969,37,1427,
19,1969,21,6654,
19,1969,57,66520,75226.0
19,1969,22,2305,
19,1969,56,38348,61716.0
20,1969,37,2091,
20,1969,21,9337,
20,1969,60,8208,
20,1969,23,42531,
20,1969,57,92239,102949.0
20,1969,22,3640,
20,1969,56,60781,92348.0
21,1969,23,41789,
21,1969,56,33177,49427.0
21,1969,37,1477,
21,1969,21,4633,
21,1969,22,1994,
21,1969,57,57767,63605.0
21,1969,60,3670,
22,1969,37,1111,
22,1969,22,1070,
22,1969,23,40979,
22,1969,60,3441,
22,1969,56,20273,35846.0
22,1969,21,5628,
22,1969,57,56695,64920.0
24,1969,37,466,
24,1969,56,26978,38757.0
24,1969,60,1231,
24,1969,23,17735,
24,1969,21,4770,
24,1969,22,260,
24,1969,57,59076,68553.0
26,1969,56,49347,73201.0
26,1969,22,2211,
26,1969,60,7020,
26,1969,23,28365,
26,1969,57,81946,88399.0
26,1969,21,8569,
26,1969,37,1929,
27,1969,37,2633,
27,1969,22,2874,
27,1969,56,59523,93477.0
27,1969,21,10059,
27,1969,23,62584,
27,1969,60,12557,
27,1969,57,113520,127925.0
28,1969,22,797,
28,1969,56,13207,25868.0
28,1969,60,1893,
28,1969,23,23919,
28,1969,37,727,
28,1969,21,4898,
28,1969,57,31884,36910.0
31,1969,57,77029,83637.0
31,1969,23,17392,
31,1969,22,2008,
31,1969,37,1400,
31,1969,56,45508,64118.0
31,1969,21,7528,
31,1969,60,6186,
33,1969,57,80312,92100.0
33,1969,23,52213,
33,1969,21,9233,
33,1969,56,50562,82671.0
33,1969,22,2378,
33,1969,60,5467,
33,1969,37,1811,
34,1969,56,39401,59787.0
34,1969,22,2220,
34,1969,23,27996,
34,1969,60,8629,
34,1969,37,2294,
34,1969,57,86203,95635.0
34,1969,21,9571,
35,1969,22,2523,
35,1969,23,33119,
35,1969,21,8125,
35,1969,37,1707,
35,1969,56,40342,66381.0
35,1969,60,6114,
35,1969,57,60083,68129.0
37,1969,23,78205,
37,1969,56,61625,91556.0
37,1969,22,3340,
37,1969,21,13163,
37,1969,57,114515,121661.0
37,1969,60,14669,
37,1969,37,3890,
38,1969,37,1487,
38,1969,60,5016,
38,1969,57,261632,81498.0
38,1969,56,35727,72135.0
38,1969,21,12342,
38,1969,23,24897,
38,1969,22,2711,
39,1969,23,26247,
39,1969,56,36143,55058.0
39,1969,57,64069,69313.0
39,1969,37,1342,
39,1969,21,7811,
39,1969,22,2015,
39,1969,60,4871,
40,1969,57,210416,230814.0
40,1969,23,67141,
40,1969,22,3687,
40,1969,56,74226,112770.0
40,1969,21,16547,
40,1969,37,3382,
40,1969,60,18273,
44,1969,60,7941,
44,1969,56,44334,72778.0
44,1969,21,11427,
44,1969,23,65483,
44,1969,37,2212,
44,1969,22,2769,
44,1969,57,81998,92281.0
45,1969,23,15868,
45,1969,22,928,
45,1969,21,5508,
45,1969,56,28600,46194.0
45,1969,60,3809,
45,1969,37,1173,
45,1969,57,29715,35022.0
46,1969,37,4347,
46,1969,22,4749,
46,1969,21,30145,
46,1969,57,182559,203222.0
46,1969,23,82698,
46,1969,60,16541,
46,1969,56,129110,199143.0
49,1969,56,71985,84846.0
49,1969,21,8803,
49,1969,37,2860,
49,1969,60,6018,
49,1969,22,2369,
49,1969,57,147200,161240.0
49,1969,23,17098,
51,1969,23,59561,
51,1969,60,13737,
51,1969,57,120898,136790.0
51,1969,22,2855,
51,1969,21,20482,
51,1969,37,4457,
51,1969,56,82845,137645.0
52,1969,21,5026,
52,1969,22,1413,
52,1969,60,3171,
52,1969,37,863,
52,1969,23,12789,
52,1969,56,25028,36299.0
52,1969,57,54025,62022.0
53,1969,22,1451,
53,1969,37,1009,
53,1969,60,3818,
53,1969,21,3463,
53,1969,56,24117,34329.0
53,1969,23,15870,
53,1969,57,44922,49479.0
54,1969,23,16331,
54,1969,37,1187,
54,1969,57,46419,51593.0
54,1969,22,1264,
54,1969,56,30657,45430.0
54,1969,21,4381,
54,1969,60,4071,
55,1969,56,43179,60276.0
55,1969,57,72891,81360.0
55,1969,21,6202,
55,1969,37,1716,
55,1969,22,2269,
55,1969,23,23164,
55,1969,60,5362,
57,1969,22,1930,
57,1969,37,1498,
57,1969,57,66486,77159.0
57,1969,60,5341,
57,1969,23,58677,
57,1969,21,13479,
57,1969,56,26981,53001.0
58,1969,60,1525,
58,1969,57,18776,21711.0
58,1969,56,9973,16596.0
58,1969,37,580,
58,1969,22,629,
58,1969,21,1643,
58,1969,23,9849,
59,1969,57,41837,48597.0
59,1969,21,4556,
59,1969,60,3754,
59,1969,56,27340,43214.0
59,1969,22,965,
59,1969,23,26335,
59,1969,37,1163,
61,1969,37,8858,
61,1969,57,264394,277702.0
61,1969,60,31411,
61,1969,22,5983,
61,1969,23,163188,
61,1969,21,33850,
61,1969,56,127499,186862.0
62,1969,37,2445,
62,1969,21,15891,
62,1969,57,100779,113365.0
62,1969,60,8281,
62,1969,23,65430,
62,1969,56,59022,98961.0
62,1969,22,3032,
64,1969,23,36813,
64,1969,60,10112,
64,1969,37,2463,
64,1969,22,3686,
64,1969,21,11838,
64,1969,57,162518,175415.0
64,1969,56,81948,105681.0
65,1969,56,34205,52247.0
65,1969,60,2838,
65,1969,37,1113,
65,1969,22,1726,
65,1969,57,44464,50870.0
65,1969,23,33115,
65,1969,21,4468,
66,1969,56,58511,84223.0
66,1969,22,3136,
66,1969,57,79717,86682.0
66,1969,21,9271,
66,1969,23,33865,
66,1969,37,1670,
66,1969,60,6934,
67,1969,23,80847,
67,1969,37,3726,
67,1969,22,5116,
67,1969,57,132980,150072.0
67,1969,56,82752,133053.0
67,1969,60,16275,
67,1969,21,18402,
69,1969,21,4201,
69,1969,56,29505,45430.0
69,1969,23,18997,
69,1969,60,4165,
69,1969,37,1316,
69,1969,22,1877,
69,1969,57,47598,54391.0
72,1969,21,9335,
72,1969,23,27249,
72,1969,57,66508,74700.0
72,1969,37,1396,
72,1969,22,1497,
72,1969,56,34789,54911.0
72,1969,60,3968,
73,1969,22,1612,
73,1969,37,1272,
73,1969,21,5823,
73,1969,23,25704,
73,1969,57,48999,54631.0
73,1969,60,4003,
73,1969,56,40902,59017.0
74,1969,56,76698,103990.0
74,1969,22,4466,
74,1969,60,13145,
74,1969,37,3242,
74,1969,57,135191,152158.0
74,1969,23,61909,
74,1969,21,12890,
75,1969,57,199390,213435.0
75,1969,56,105801,140409.0
75,1969,21,18041,
75,1969,60,20678,
75,1969,22,4202,
75,1969,37,3474,
75,1969,23,50932,
76,1969,37,2000,
76,1969,57,92414,99415.0
76,1969,23,35764,
76,1969,60,6902,
76,1969,22,2787,
76,1969,56,49185,71930.0
76,1969,21,9223,
77,1969,22,603,
77,1969,23,14804,
77,1969,57,39144,44887.0
77,1969,60,2267,
77,1969,56,21999,31505.0
77,1969,37,760,
77,1969,21,2686,
78,1969,60,4449,
78,1969,37,1651,
78,1969,56,39549,64656.0
78,1969,57,51573,59356.0
78,1969,22,1807,
78,1969,21,5814,
78,1969,23,35837,
79,1969,22,445,
79,1969,57,25509,27817.0
79,1969,56,6699,10481.0
79,1969,60,1125,
79,1969,21,1308,
79,1969,37,349,
79,1969,23,4963,
81,1969,57,143690,151860.0
81,1969,56,66718,86668.0
81,1969,60,10915,
81,1969,23,28751,
81,1969,37,2144,
81,1969,22,3416,
